PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
1,9/10/24,1,1,"Alejandro, Hector",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,1,Top,0,0,0,Slider,InPlay,Undefined,Line Drive,Double,0,0,99
2,9/10/24,2,1,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
3,9/10/24,2,2,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,1,Top,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
4,9/10/24,2,3,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,1,Top,0,1,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,86.9
5,9/10/24,3,1,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,1,Top,1,0,0,Fastball,InPlay,Undefined,Groundball,Single,0,1,92.5
6,9/10/24,4,1,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
7,9/10/24,4,2,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,1,Top,1,0,1,Changeup,InPlay,Undefined,GroundBall,Single,0,0,96.2
8,9/10/24,5,1,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
9,9/10/24,5,2,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
10,9/10/24,5,3,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
11,9/10/24,5,4,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,44.6
12,9/10/24,5,5,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
13,9/10/24,5,6,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,2,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
14,9/10/24,5,7,"Alejandro, Hector",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,1,Top,1,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,
15,9/10/24,6,1,"Alejandro, Hector",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
16,9/10/24,6,2,"Alejandro, Hector",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,1,Top,2,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
17,9/10/24,6,3,"Alejandro, Hector",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,1,Top,2,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
18,9/10/24,6,4,"Alejandro, Hector",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,1,Top,2,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Out,1,0,
19,9/10/24,1,1,"Carrea, Joe",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
20,9/10/24,1,2,"Carrea, Joe",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,1,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
