First,Last,PA,AB,Hits,X1B,X2B,X3B,HR,BB,HBP,K,BIPOut,SF,SB,FirstBase,SecondBase,ThirdBase,Home,Out,Prob1B,Prob2B,Prob3B,Prob4B,ProbOut,TotalProb,
Aidan,Dougherty,27,23,10,8,2,0,0,4,0,4,9,0,0,12,2,0,0,13,0.444444444,0.074074074,0,0,0.481481481,1,
Cayden,Suchy,13,11,5,4,1,0,0,1,1,2,4,0,0,6,1,0,0,6,0.461538462,0.076923077,0,0,0.461538462,1,
Tyler,Minick,172,160,45,24,9,1,11,6,4,35,82,0,2,34,9,1,11,117,0.197674419,0.052325581,0.005813953,0.06875,0.680232558,1.004796512,
Sam,Biller,336,258,70,35,20,2,13,40,23,59,144,5,10,98,20,2,13,203,0.291666667,0.05952381,0.005952381,0.050387597,0.604166667,1.011697121,
Caleb,Shpur,320,251,73,53,16,1,3,36,12,38,161,8,13,101,16,1,3,199,0.315625,0.05,0.003125,0.011952191,0.621875,1.002577191,
Matt,Garbowski,243,202,60,46,7,0,7,28,6,40,109,3,4,80,7,0,7,149,0.329218107,0.028806584,0,0.034653465,0.613168724,1.005846881,
Bryan,Padilla,306,249,71,47,17,1,6,43,3,43,146,5,6,93,17,1,6,189,0.303921569,0.055555556,0.003267974,0.024096386,0.617647059,1.004488542,
Beau,Root,58,50,16,12,3,0,1,3,0,15,24,0,5,15,3,0,1,39,0.25862069,0.051724138,0,0.02,0.672413793,1.002758621,
Grant,MacArthur,57,46,14,7,4,0,3,9,0,14,20,2,0,16,4,0,3,34,0.280701754,0.070175439,0,0.065217391,0.596491228,1.012585812,
Jack,LaRose,61,40,12,8,4,0,0,15,3,13,18,1,2,26,4,0,0,31,0.426229508,0.06557377,0,0,0.508196721,1,
Mike,Oates,19,17,5,4,1,0,0,1,0,5,8,0,1,5,1,0,0,13,0.263157895,0.052631579,0,0,0.684210526,1,
Drew,Kron,100,85,18,13,2,1,2,9,2,16,55,0,4,24,2,1,2,71,0.24,0.02,0.01,0.023529412,0.71,1.003529412,
Maddix,Dalena,285,233,59,28,14,1,16,38,11,66,111,2,1,77,14,1,16,177,0.270175439,0.049122807,0.003508772,0.068669528,0.621052632,1.012529177,
Rob,Rispoli,69,49,12,8,1,2,1,9,6,9,33,0,5,23,1,2,1,42,0.333333333,0.014492754,0.028985507,0.020408163,0.608695652,1.00591541,
Gabriel,Tirado,54,45,10,5,2,0,3,8,0,13,23,1,0,13,2,0,3,36,0.240740741,0.037037037,0,0.066666667,0.666666667,1.011111111,
Carter,Groen,254,217,65,42,15,4,4,22,12,46,109,2,1,76,15,4,4,155,0.299212598,0.059055118,0.015748031,0.01843318,0.61023622,1.002685148,
Connor,Lane,49,40,9,4,3,0,2,7,0,12,21,1,1,11,3,0,2,33,0.224489796,0.06122449,0,0.05,0.673469388,1.009183673,
Anthony,Belisario,49,38,8,8,0,0,0,8,2,9,22,1,0,18,0,0,0,31,0.367346939,0,0,0,0.632653061,1,
Ryan,Daniels,88,71,14,7,4,0,3,12,1,18,43,1,3,20,4,0,3,61,0.227272727,0.045454545,0,0.042253521,0.693181818,1.008162612,
