First,Last,PA,AB,Hits,BB,X1B,X2B,X3B,HR,TB,RBI,Runs,K,HBP,SF,SB,BA,OBP,SLG,OPS
Aidan,Dougherty,27,23,10,4,8,2,0,0,12,1,4,4,0,0,0,0.435,0.519,0.522,1.04
Cayden,Suchy,15,11,5,1,4,1,0,0,6,2,4,2,1,0,0,0.455,0.538,0.545,1.084
Tyler,Minick,23,21,8,2,4,2,0,2,16,9,6,2,0,0,1,0.381,0.435,0.762,1.197
Sam,Biller,75,58,19,9,14,2,2,1,28,7,21,7,7,0,9,0.328,0.473,0.483,0.956
Caleb,Shpur,73,55,21,12,18,2,1,0,25,12,18,5,1,5,11,0.382,0.466,0.455,0.92
Matt,Garbowski,54,44,15,3,11,1,0,3,25,16,10,7,4,2,0,0.341,0.415,0.568,0.983
Bryan,Padilla,66,51,16,13,12,4,0,0,20,11,12,12,0,2,3,0.314,0.439,0.392,0.832
Beau,Root,53,50,16,3,12,3,0,1,22,9,9,15,0,0,5,0.32,0.358,0.44,0.798
Grant,MacArthur,57,46,14,9,7,4,0,3,27,14,10,14,0,2,0,0.304,0.404,0.587,0.99
Jack,LaRose,60,40,12,15,8,4,0,0,16,6,13,13,3,1,2,0.3,0.508,0.4,0.908
Mike,Oates,18,17,5,1,4,1,0,0,6,2,2,5,0,0,1,0.294,0.333,0.353,0.686
Drew,Kron,56,45,11,6,8,0,1,2,19,7,7,9,1,0,3,0.244,0.358,0.422,0.781
Maddix,Dalena,60,43,13,11,7,2,1,3,26,14,14,9,3,1,0,0.302,0.458,0.605,1.062
Rob,Rispoli,64,49,12,9,8,1,2,1,19,4,16,9,6,0,5,0.245,0.422,0.388,0.81
Gabriel,Tirado,55,45,10,8,5,2,0,3,21,10,10,13,0,1,0,0.222,0.333,0.467,0.8
Carter,Groen,59,45,11,7,8,2,0,0,15,3,10,12,4,1,1,0.244,0.386,0.333,0.719
Connor,Lane,50,40,9,7,4,3,0,2,18,10,8,12,0,1,1,0.225,0.333,0.45,0.783
Anthony,Belisario,49,38,8,8,8,0,0,0,8,5,6,9,2,1,0,0.211,0.367,0.211,0.578
Ryan,Daniels,12,10,2,1,0,2,0,0,4,3,3,4,0,1,1,0.2,0.25,0.4,0.65
