,Player,,,,AB,R,H,X1B,X2B,X3B,HR,,,,BB,HBP,,,,SF,SH,
1,Matt Scherrman (Creighton),0.423,1.115,8-Dec,26,7,11,6,5,0,0,2,16,0.615,4,0,4,0,0.5,0,2,1-Jan
2,Nolan Sailors (Creighton),0.404,1.347,13-12,47,13,19,9,4,2,4,24,39,0.83,8,4,5,0,0.517,1,0,4-Apr
3,"DORIGHI, Carter (Butler)",0.402,1.04,18-18,82,20,33,23,8,1,1,22,46,0.561,12,0,12,0,0.479,0,0,9-Jun
4,"LEWIS, Kade (Butler)",0.4,0.984,18-18,75,17,30,24,5,0,1,15,38,0.507,9,3,10,1,0.477,1,0,1-Jan
5,"CARTER, Xavier (Butler)",0.379,0.945,18-15,58,13,22,18,3,1,0,7,27,0.466,10,2,10,0,0.479,1,1,1-Jan
6,Ben North (Creighton),0.378,1.132,13-12,37,13,14,11,0,0,3,10,23,0.622,6,5,12,0,0.51,1,1,3-Jan
7,"HAMMOND, Luke (Xavier)",0.371,1.187,20-20,70,20,26,14,6,0,6,18,50,0.714,13,4,17,2,0.473,4,0,2-Jan
8,"Minick, Tyler (UConn)",0.357,1.09,10-Dec,42,9,15,9,2,0,4,14,29,0.69,2,1,9,1,0.4,0,0,2-Feb
9,"Garbowski, Matt (UConn)",0.353,0.912,11-Nov,34,5,12,10,2,0,0,3,14,0.412,10,0,7,0,0.5,0,0,0-0
10,"SCAVELLI, Garrett (St. John's)",0.351,0.981,21-21,77,20,27,18,5,2,2,15,42,0.545,13,1,18,1,0.436,3,1,1-Jan
11,Christian Ficca (Georgetown),0.344,1.015,56-56,224,46,77,50,15,1,11,64,127,0.567,34,10,25,2,0.448,2,1,1-Jan
12,"URBAN, Joey (Butler)",0.342,0.896,18-18,76,16,26,19,6,0,1,14,35,0.461,13,1,17,3,0.435,2,0,0-2
13,"Broadhurst, Luke (UConn)",0.339,1.162,16-16,62,15,21,12,2,1,6,17,43,0.694,13,3,10,0,0.468,1,0,2-Jan
14,"SYLVESTER, Zack (Seton Hall)",0.333,0.968,14-14,48,8,16,12,2,0,2,8,24,0.5,9,4,7,0,0.468,1,1,6-Mar
15,Joe Hollerbach (Georgetown),0.327,0.91,55-55,202,42,66,50,7,0,9,45,100,0.495,17,15,34,3,0.415,2,1,0-0
16,Kavi Caster (Georgetown),0.322,1.033,54-48,174,37,56,29,11,4,12,48,111,0.638,17,4,59,2,0.395,0,3,12-Sep
17,"CHRISTIANSEN, Hayden (Xavier)",0.314,0.978,17-10,51,7,16,10,1,0,5,14,32,0.627,4,0,10,0,0.351,2,0,0-1
18,"McCORMICK, Matt (Xavier)",0.309,1.015,21-21,81,19,25,14,4,0,7,16,50,0.617,8,4,27,0,0.398,0,1,0-0
19,"MELNICK, Danny (Seton Hall)",0.305,0.802,15-15,59,9,18,11,6,0,1,10,27,0.458,4,0,3,1,0.344,1,1,0-0
20,"HENDRICKON, Carter (Xavier)",0.304,0.864,17-15,56,13,17,12,4,0,1,7,24,0.429,10,3,7,0,0.435,0,1,7-Jun
21,Teddy Deters (Creighton),0.302,0.896,13-13,53,9,16,10,3,1,2,8,27,0.509,6,2,15,0,0.387,1,0,4-Apr
22,"MAYBERRY, Blake (St. John's)",0.3,0.766,20-20,80,13,24,17,6,1,0,17,32,0.4,9,1,14,1,0.366,3,0,3-Jan
23,"KEENAN, Jimmy (St. John's)",0.298,0.929,21-21,84,18,25,15,3,1,6,21,48,0.571,7,2,22,3,0.358,2,0,1-Jan
24,Jake Hyde (Georgetown),0.297,0.965,56-56,232,58,69,35,20,1,13,51,130,0.56,36,8,58,3,0.405,3,0,2-Feb
25,"Padilla, Bryan (UConn)",0.293,0.834,16-15,58,11,17,11,4,1,1,16,26,0.448,7,3,7,0,0.386,2,2,0-0
26,"OREILLY, JACK (Villanova)",0.292,0.875,51-51,219,46,64,35,20,0,9,47,111,0.507,19,8,26,3,0.368,1,0,10-Aug
27,Cuyler Zukowski (Creighton),0.292,0.933,7-Oct,24,9,7,4,2,0,1,4,12,0.5,6,0,9,0,0.433,0,0,1-Jan
28,"PARKS, Evan (Butler)",0.29,0.823,8-Dec,31,5,9,6,3,0,0,6,12,0.387,5,3,11,1,0.436,0,2,3-Mar
29,"ANDERSON, Aedan (Xavier)",0.29,1.018,21-15,62,18,18,9,3,1,5,17,38,0.613,11,3,11,1,0.405,3,0,3-Jan
30,"ORBON, Luke (St. John's)",0.289,0.874,21-21,76,17,22,14,4,2,2,12,36,0.474,13,1,25,1,0.4,0,2,5-Apr
31,"MOROKNEK, Jack (Butler)",0.286,0.762,18-17,70,9,20,17,2,0,1,11,25,0.357,12,2,14,0,0.405,0,0,0-1
32,"DRUMM, Ryan (Butler)",0.286,0.924,16-6,21,4,6,3,2,0,1,3,11,0.524,4,0,7,0,0.4,0,0,0-1
33,Owen Carapellotti (Georgetown),0.284,0.991,56-56,211,44,60,32,11,3,14,53,119,0.564,41,13,63,2,0.427,2,0,1-Jan
34,"SHAW, SCOTT (Villanova)",0.283,0.956,47-47,180,37,51,26,12,2,11,34,100,0.556,25,12,49,1,0.4,3,3,9-Jun
35,"Morton, Korey (UConn)",0.281,0.829,15-15,64,15,18,10,5,0,3,12,32,0.5,3,2,14,0,0.329,1,0,8-Aug
36,"Dalena, Maddix (UConn)",0.281,1.063,16-16,57,17,16,8,2,0,6,14,36,0.632,13,2,16,1,0.431,0,0,0-0
37,Josh Rolling (Georgetown),0.279,0.848,46-46,154,43,43,29,10,1,3,30,64,0.416,41,2,42,4,0.432,2,5,5-May
38,Michael Eze (Georgetown),0.274,0.849,57-57,197,50,54,35,9,6,4,30,87,0.442,29,16,57,0,0.407,1,7,33-37
39,Ashtin Gilio (Georgetown),0.273,0.793,39-19,88,19,24,14,8,1,1,12,37,0.42,13,1,25,0,0.373,0,4,1-Jan
40,"Studley, Jake (UConn)",0.273,0.838,15-14,55,17,15,8,5,0,2,9,26,0.473,4,4,11,0,0.365,0,2,0-0
41,Marco Castillo (Georgetown),0.272,0.665,53-43,162,23,44,37,6,1,0,26,52,0.321,16,4,19,6,0.344,4,5,2-Feb
42,"TUCKER, Jackson (St. John's)",0.272,0.853,21-20,81,17,22,11,7,3,1,19,38,0.469,13,3,14,3,0.384,2,1,9-Aug
43,"ORBON, Paul (St. John's)",0.269,0.828,17-16,52,12,14,10,3,0,1,8,20,0.385,13,4,20,0,0.443,1,0,6-Apr
