base_state,outs,runs
___,0,0
___,2,0
1__,2,0
___,0,0
___,0,0
___,0,0
1__,0,0
___,1,0
___,1,0
1__,1,0
123,1,1
___,2,0
_2_,2,0
12_,2,0
___,0,0
1__,0,0
1__,1,0
12_,1,0
_23,1,0
_23,1,0
_2_,2,0
_23,2,0
___,0,0
12_,0,0
_2_,0,0
___,2,0
___,1,0
1_3,2,0
_23,1,0
___,1,0
_2_,2,0
___,0,0
1__,0,0
12_,0,0
___,1,0
___,1,0
___,1,0
1__,1,0
___,0,0
___,1,0
1__,1,0
_2_,1,0
_2_,1,0
12_,1,0
___,2,0
___,2,0
_2_,2,0
_23,2,0
___,1,0
1__,1,0
1__,1,0
_2_,1,0
__3,1,0
_23,1,0
123,1,1
___,2,0
___,2,0
12_,2,0
___,0,0
___,0,0
___,0,0
___,0,0
___,0,0
___,0,0
1__,0,0
2__,0,0
___,1,0
___,1,0
___,1,0
___,1,0
__3,1,0
__4,1,0
__5,1,0
12_,1,0
12_,1,0
_23,1,0
123,1,1
___,2,0
___,2,0
1__,2,0
1__,2,0
1_3,2,0
_23,2,0
12_,2,0
_23,2,0
1_3,0,0
1_3,0,0
12_,2,0
1_3,2,0
