base_state,outs,runs
___,0,1
___,1,1
___,1,1
_2_,1,2
_2_,2,2
_2_,2,2
___,0,1
___,0,1
___,2,1
___,0,1
___,1,1
___,1,1
1__,1,2
1__,1,2
1_3,1,3
___,2,1
___,2,1
___,2,1
1__,2,2
1__,2,2
__3,2,2
1_3,2,3
___,0,1
___,1,1
1__,1,2
12_,1,3
___,0,1
12_,0,3
1__,2,2
___,0,1
123,1,4
123,1,4
___,1,1
1__,1,2
1__,1,2
__3,1,2
_2_,2,2
__3,2,2
___,0,1
___,0,1
___,0,1
_2_,0,2
1__,1,2
1__,1,2
_2_,1,2
__3,1,2
_23,1,3
___,2,1
1__,2,2
___,0,1
1__,0,2
1__,0,2
123,0,4
___,1,1
___,1,1
___,1,1
___,2,1
___,2,1
___,2,1
___,0,1
___,0,1
___,0,1
1__,0,2
___,1,1
_2_,1,2
_2_,1,2
_2_,1,2
__3,1,2
12_,1,3
_23,1,3
_23,1,3
_2_,2,2
12_,2,3
_23,2,3
___,1,1
12_,2,3
_23,2,3
123,2,4
___,0,1
___,0,1
___,0,1
___,0,1
_23,0,3
___,1,1
_2_,1,2
___,2,1
___,2,1
1__,2,2
