PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
1,2024-09-13,1,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
2,2024-09-13,1,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,0,0,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
3,2024-09-13,1,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,0,0,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
4,2024-09-13,2,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,0,0,2,Changeup,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
5,2024-09-13,2,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
6,2024-09-13,2,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,1,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,1,0,,,,
7,2024-09-13,2,4,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,1,0,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,0,0,,,,
8,2024-09-13,3,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
9,2024-09-13,3,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,2,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
10,2024-09-13,3,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,1,Top,2,0,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
11,2024-09-13,1,1,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
12,2024-09-13,1,2,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
13,2024-09-13,1,3,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
14,2024-09-13,1,4,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,1,Bottom,0,1,2,Fastball,InPlay,Undefined,LineDrive,Out,1,0,89,,,
15,2024-09-13,2,1,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
16,2024-09-13,2,2,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
17,2024-09-13,2,3,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
18,2024-09-13,2,4,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
19,2024-09-13,2,5,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,82.2,,,
20,2024-09-13,2,6,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
21,2024-09-13,2,7,,,UCO_AVP,"Biller, Sam",Left,UCO_HUS,1,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,
22,2024-09-13,3,1,,,UCO_AVP,"Minick, Tyler",Right,UCO_HUS,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
