PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
1,2024-09-14,1,1,"Mayer, Cameron",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Top,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
2,2024-09-15,1,2,"Mayer, Cameron",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,1,Top,0,0,1,Cutter,InPlay,Undefined,FlyBall,Triple,0,0,83,,,,,,,
3,2024-09-16,2,1,"Mayer, Cameron",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
4,2024-09-17,2,2,"Mayer, Cameron",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Top,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
5,2024-09-18,2,3,"Mayer, Cameron",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
6,2024-09-19,2,4,"Mayer, Cameron",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
7,2024-09-20,2,5,"Mayer, Cameron",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,1,Top,0,3,1,Fastball,InPlay,Undefined,GroundBall,Single,0,1,89.3,,,,,,,
8,2024-09-21,3,1,"Mayer, Cameron",Right,UCO_HUS,"Minick, Tyler",RIght,UCO_HUS,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
9,2024-09-22,3,2,"Mayer, Cameron",Right,UCO_HUS,"Minick, Tyler",RIght,UCO_HUS,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
10,2024-09-23,3,3,"Mayer, Cameron",Right,UCO_HUS,"Minick, Tyler",RIght,UCO_HUS,1,Top,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
11,2024-09-24,3,4,"Mayer, Cameron",Right,UCO_HUS,"Minick, Tyler",RIght,UCO_HUS,1,Top,0,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,
12,2024-09-25,4,1,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
13,2024-09-26,4,2,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
14,2024-09-27,4,3,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
15,2024-09-28,4,4,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
16,2024-09-29,4,5,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
17,2024-09-30,4,6,"Mayer, Cameron",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,1,Top,0,3,2,Fastball,StrikeCalled,Strikeout,Undefined,Out,1,0,,,,,,,,
